code,ingredient,dosage,name,price
1214400G1025,リドカイン塩酸塩,０．５％１０ｍＬ１筒,キシロカイン注シリンジ０．５％,210.0
1214400G2021,リドカイン塩酸塩,１％１０ｍＬ１筒,キシロカイン注シリンジ１％,198.0
1214400H1055,リドカイン塩酸塩,２％１０ｍＬ１管,キシロカイン注ポリアンプ２％,110.0
1214400H1063,リドカイン塩酸塩,２％１０ｍＬ１管,リドカイン塩酸塩注２％「日新」,97.0
1214400H1080,リドカイン塩酸塩,２％１０ｍＬ１管,リドカイン塩酸塩注射液２％「ＶＴＲＳ」,97.0
1214401A1019,リドカイン,０．５％１０ｍＬバイアル,リドカイン注射液,94.0
1214401A1027,リドカイン,０．５％１０ｍＬバイアル,キシロカイン注射液０．５％,99.0
1214401A2015,リドカイン,０．５％３ｍＬ１管,リドカイン注射液,119.0
1214401A3011,リドカイン,１％１０ｍＬバイアル,リドカイン注射液,97.0
1214401A3020,リドカイン,１％１０ｍＬバイアル,キシロカイン注射液１％,110.0
1214401A4018,リドカイン,２％１０ｍＬバイアル,リドカイン注射液,133.0
1214401A4026,リドカイン,２％１０ｍＬバイアル,キシロカイン注射液２％,156.0
1214401A5014,リドカイン,２％５ｍＬ１管,リドカイン注射液,94.0
1214401A5022,リドカイン,２％５ｍＬ１管,静注用キシロカイン２％,119.0
1214401A6010,リドカイン,１０％１０ｍＬ１管,リドカイン注射液,340.0
1214402A1013,メピバカイン塩酸塩,０．５％１０ｍＬバイアル,メピバカイン塩酸塩注射液,97.0
1214402A1021,メピバカイン塩酸塩,０．５％１０ｍＬバイアル,０．５％カルボカイン注,108.0
1214402A2010,メピバカイン塩酸塩,１％１０ｍＬバイアル,メピバカイン塩酸塩注射液,103.0
1214402A2028,メピバカイン塩酸塩,１％１０ｍＬバイアル,１％カルボカイン注,112.0
1214402A3016,メピバカイン塩酸塩,２％１０ｍＬバイアル,メピバカイン塩酸塩注射液,153.0
1214402A3024,メピバカイン塩酸塩,２％１０ｍＬバイアル,２％カルボカイン注,183.0
1214402A5019,メピバカイン塩酸塩,０．５％５ｍＬ１管,メピバカイン塩酸塩注射液,104.0
1214402A6015,メピバカイン塩酸塩,０．５％１０ｍＬ１管,メピバカイン塩酸塩注射液,103.0
1214402A8018,メピバカイン塩酸塩,１％２ｍＬ１管,メピバカイン塩酸塩注射液,99.0
1214402A9014,メピバカイン塩酸塩,１％５ｍＬ１管,メピバカイン塩酸塩注射液,103.0
1214402H1011,メピバカイン塩酸塩,１％１０ｍＬ１管,メピバカイン塩酸塩注射液,97.0
1214402H3014,メピバカイン塩酸塩,２％２ｍＬ１管,メピバカイン塩酸塩注射液,110.0
1214402H4010,メピバカイン塩酸塩,２％５ｍＬ１管,メピバカイン塩酸塩注射液,108.0
1214402H5017,メピバカイン塩酸塩,２％１０ｍＬ１管,メピバカイン塩酸塩注射液,140.0
1214403A1026,ブピバカイン塩酸塩水和物,０．１２５％１０ｍＬバイアル,マーカイン注０．１２５％,125.0
1214403A2022,ブピバカイン塩酸塩水和物,０．２５％１０ｍＬバイアル,マーカイン注０．２５％,143.0
1214403A3029,ブピバカイン塩酸塩水和物,０．５％１０ｍＬバイアル,マーカイン注０．５％,188.0
1214403A4025,ブピバカイン塩酸塩水和物,０．５％４ｍＬ１管,マーカイン注脊麻用０．５％高比重,330.0
1214403A5021,ブピバカイン塩酸塩水和物,０．５％４ｍＬ１管,マーカイン注脊麻用０．５％等比重,329.0
1214404A2035,リドカイン,１％２００ｍＬ１袋,リドカイン点滴静注液１％「タカタ」,689.0
1214405A1025,ロピバカイン塩酸塩水和物,０．２％１０ｍＬ１管,アナペイン注２ｍｇ／ｍＬ,287.0
1214405A2021,ロピバカイン塩酸塩水和物,０．２％１００ｍＬ１袋,アナペイン注２ｍｇ／ｍＬ,1450.0
1214405A3028,ロピバカイン塩酸塩水和物,０．７５％１０ｍＬ１管,アナペイン注７．５ｍｇ／ｍＬ,520.0
1214405A3036,ロピバカイン塩酸塩水和物,０．７５％１０ｍＬ１管,ロピバカイン塩酸塩０．７５％注７５ｍｇ／１０ｍＬ「テルモ」,260.0
1214405A4024,ロピバカイン塩酸塩水和物,０．７５％２０ｍＬ１管,アナペイン注７．５ｍｇ／ｍＬ,946.0
1214405A4032,ロピバカイン塩酸塩水和物,０．７５％２０ｍＬ１管,ロピバカイン塩酸塩０．７５％注１５０ｍｇ／２０ｍＬ「テルモ」,520.0
1214405A5020,ロピバカイン塩酸塩水和物,１％１０ｍＬ１管,アナペイン注１０ｍｇ／ｍＬ,509.0
1214405A6027,ロピバカイン塩酸塩水和物,１％２０ｍＬ１管,アナペイン注１０ｍｇ／ｍＬ,802.0
1214406A1020,メピバカイン塩酸塩,０．５％５ｍＬ１管,０．５％塩酸メピバカイン注ＰＢ,79.0
1214406A1038,メピバカイン塩酸塩,０．５％５ｍＬ１管,メピバカイン塩酸塩注０．５％「日新」,79.0
1214406A2026,メピバカイン塩酸塩,０．５％１０ｍＬ１管,０．５％塩酸メピバカイン注ＰＢ,86.0
1214406A2034,メピバカイン塩酸塩,０．５％１０ｍＬ１管,メピバカイン塩酸塩注０．５％「日新」,86.0
1214406A3022,メピバカイン塩酸塩,１％５ｍＬ１管,１％塩酸メピバカイン注ＰＢ,79.0
1214406A3030,メピバカイン塩酸塩,１％５ｍＬ１管,メピバカイン塩酸塩注１％「日新」,79.0
1214406A4029,メピバカイン塩酸塩,１％１０ｍＬ１管,１％塩酸メピバカイン注ＰＢ,86.0
1214406A4037,メピバカイン塩酸塩,１％１０ｍＬ１管,メピバカイン塩酸塩注１％「日新」,86.0
1214406A5025,メピバカイン塩酸塩,２％５ｍＬ１管,２％塩酸メピバカイン注ＰＢ,84.0
1214406A5033,メピバカイン塩酸塩,２％５ｍＬ１管,メピバカイン塩酸塩注２％「日新」,84.0
1214406A6021,メピバカイン塩酸塩,２％１０ｍＬ１管,２％塩酸メピバカイン注ＰＢ,97.0
1214406A6030,メピバカイン塩酸塩,２％１０ｍＬ１管,メピバカイン塩酸塩注２％「日新」,97.0
1214406G1022,メピバカイン塩酸塩,０．５％１０ｍＬ１筒,塩酸メピバカイン注シリンジ０．５％「ＮＰ」,186.0
1214406G1030,メピバカイン塩酸塩,０．５％１０ｍＬ１筒,メピバカイン塩酸塩注射液０．５％シリンジ５０ｍｇ／１０ｍＬ「ＮＰ」,186.0
1214406G2029,メピバカイン塩酸塩,１％１０ｍＬ１筒,塩酸メピバカイン注シリンジ１％「ＮＰ」,153.0
1214406G2037,メピバカイン塩酸塩,１％１０ｍＬ１筒,メピバカイン塩酸塩注射液１％シリンジ１００ｍｇ／１０ｍＬ「ＮＰ」,153.0
1214406G3025,メピバカイン塩酸塩,２％１０ｍＬ１筒,塩酸メピバカイン注シリンジ２％「ＮＰ」,228.0
1214406G3033,メピバカイン塩酸塩,２％１０ｍＬ１筒,メピバカイン塩酸塩注射液２％シリンジ２００ｍｇ／１０ｍＬ「ＮＰ」,228.0
1214407A1024,塩酸レボブピバカイン,２５ｍｇ１０ｍＬ１管,ポプスカイン０．２５％注２５ｍｇ／１０ｍＬ,247.0
1214407A2020,塩酸レボブピバカイン,７５ｍｇ１０ｍＬ１管,ポプスカイン０．７５％注７５ｍｇ／１０ｍＬ,390.0
1214407A3027,塩酸レボブピバカイン,１５０ｍｇ２０ｍＬ１管,ポプスカイン０．７５％注１５０ｍｇ／２０ｍＬ,733.0
1214407A4023,塩酸レボブピバカイン,５０ｍｇ１０ｍＬ１管,ポプスカイン０．５％注５０ｍｇ／１０ｍＬ,443.0
1214407G1027,塩酸レボブピバカイン,２５ｍｇ１０ｍＬ１筒,ポプスカイン０．２５％注シリンジ２５ｍｇ／１０ｍＬ,257.0
1214407G2023,塩酸レボブピバカイン,７５ｍｇ１０ｍＬ１筒,ポプスカイン０．７５％注シリンジ７５ｍｇ／１０ｍＬ,560.0
1214407G3020,塩酸レボブピバカイン,２５０ｍｇ１００ｍＬ１袋,ポプスカイン０．２５％注バッグ２５０ｍｇ／１００ｍＬ,930.0
1214407G4026,塩酸レボブピバカイン,５０ｍｇ１０ｍＬ１筒,ポプスカイン０．５％注シリンジ５０ｍｇ／１０ｍＬ,520.0
1224400A1010,スキサメトニウム塩化物水和物,２％１ｍＬ１管,スキサメトニウム塩化物注射液,94.0
1224400A2017,スキサメトニウム塩化物水和物,２％２ｍＬ１管,スキサメトニウム塩化物注射液,136.0
1224400A2050,スキサメトニウム塩化物水和物,２％２ｍＬ１管,スキサメトニウム注４０「マルイシ」,285.0
1224400A3013,スキサメトニウム塩化物水和物,２％５ｍＬ１管,スキサメトニウム塩化物注射液,240.0
1224400A3056,スキサメトニウム塩化物水和物,２％５ｍＬ１管,スキサメトニウム注１００「マルイシ」,504.0
1224401X2014,スキサメトニウム塩化物水和物,２００ｍｇ１瓶（溶解液付）,注射用スキサメトニウム塩化物,185.0
1229401A1089,プリジノールメシル酸塩,０．２％１ｍＬ１管,ロキシーン注２ｍｇ,57.0
1229402D1039,ダントロレンナトリウム水和物,２０ｍｇ１瓶,ダントリウム静注用２０ｍｇ,9039.0
1229404D1020,Ａ型ボツリヌス毒素,５０単位１瓶,ボトックス注用５０単位,33368.0
1229404D2026,Ａ型ボツリヌス毒素,１００単位１瓶,ボトックス注用１００単位,59310.0
